Tanggal,Semua bahasa,Inggris (Amerika Serikat),Indonesia (Indonesia),Inggris (Inggris Raya),Inggris (India),Korea (Korea Selatan),Rusia (Rusia),Prancis (Prancis),Italia (Italia),Jerman (Jerman),Catatan
1 Jan 2020,2,0,2,0,0,0,0,0,0,0,
2 Jan 2020,2,0,2,0,0,0,0,0,0,0,
3 Jan 2020,2,0,2,0,0,0,0,0,0,0,
4 Jan 2020,4,1,3,0,0,0,0,0,0,0,Peluncuran rilis: Peluncuran 2.1 dimulai pada 100%.
5 Jan 2020,4,1,3,0,0,0,0,0,0,0,
6 Jan 2020,4,1,3,0,0,0,0,0,0,0,
7 Jan 2020,4,1,3,0,0,0,0,0,0,0,
8 Jan 2020,6,2,3,0,0,0,0,0,0,0,
9 Jan 2020,6,2,3,0,0,0,0,0,0,0,
10 Jan 2020,7,2,4,0,0,0,0,0,0,0,
11 Jan 2020,7,1,3,0,2,0,0,0,0,0,
12 Jan 2020,5,1,3,0,0,0,0,0,0,0,
13 Jan 2020,5,1,3,0,0,0,0,0,0,0,
14 Jan 2020,5,1,3,0,0,0,0,0,0,0,
15 Jan 2020,5,1,3,0,0,0,0,0,0,0,
16 Jan 2020,5,1,3,0,0,0,0,0,0,0,
17 Jan 2020,5,1,3,0,0,0,0,0,0,0,
18 Jan 2020,4,0,3,0,0,0,0,0,0,0,
19 Jan 2020,4,0,3,0,0,0,0,0,0,0,
20 Jan 2020,4,0,3,0,0,0,0,0,0,0,
21 Jan 2020,7,0,5,0,0,1,0,0,0,0,
22 Jan 2020,5,0,3,0,0,1,0,0,0,0,
23 Jan 2020,6,0,3,1,0,1,0,0,0,0,
24 Jan 2020,6,0,3,1,0,1,0,0,0,0,
25 Jan 2020,6,0,3,1,0,1,0,0,0,0,
26 Jan 2020,8,0,3,1,0,1,0,0,0,0,
27 Jan 2020,7,0,3,1,0,1,0,0,0,0,
28 Jan 2020,7,0,3,1,0,1,0,0,0,0,
29 Jan 2020,7,0,4,1,0,1,0,0,0,0,
